Category,Name,Type,Description
pasta dishes,Filipino spaghetti,Other countries,Filipino adaptation of spaghetti in Bolognese sauce. Characteristically sweet due to the addition of banana ketchup or brown sugar to the sauce.[20]
Philippine dishes,Baked macaroni,Noodles,"Filipino version of macaroni casserole, with a sauce base similar in flavor to Filipino spaghetti."
Philippine dishes,Sotanghon,Noodles,A clear chicken soup with vermicelli noodles (sotanghon).
Philippine dishes,Ginisang monggo,Vegetable,"Sauteed mung beans in onions and tomatoes. Variants can include the addition of coconut milk, dried fish, chicken, thinly-sliced pork, or vegetables such as kangkong (water spinach), langka (jackfruit), and malunggay (moringa)."
Philippine dishes,Kinilnat,,"An Ilocano salad made with leaves, shoots, blossoms, or the other parts of the plant are boiled and drained and dressed with bagoong (preferably) or patis, and sometimes souring agents like calamansi or cherry tomatoes are added  as well as freshly ground ginger."
Philippine dishes,Laswa,,"A popular soupy Visayan dish made of different vegetables, including okra, eggplant, malunggay, alugbati, squash, and taro root, yard long beans, tomatoes, served over rice."
Philippine dishes,Arroz a la valenciana,Glutinous rice,"A hearty, glutinous rice dish that incorporates various ingredients, such as chorizo de bilbao, carrots, raisins, pork, chicken, bell peppers, garlic and onions. Turmeric is used to give the bright yellow colour characteristic of the dish. It is often garnished with sliced hard boiled eggs."
rice dishes,Lugaw,Rice dishes,Rice congee
Philippine dishes,Champorado,Porridge,A sweet chocolate rice porridge. It can be served hot or cold and with milk and sugar to taste. It is served usually at breakfast and sometimes together with dried fish locally known as tuyo.
dishes made using coconut milk,Paelya,Dishes that use coconut milk,"Filipino adaptation with glutinous rice of Spanish paella and related dishes. Filipino versions can sometimes use coconut milk, especially in the bringhe variant."
rice dishes,Sinangag,Rice dishes,"Fried rice sauteed in garlic. A vital part of the ""silog"" meal (""Sinangag at Itlog""; trans: ""fried rice and egg"")"
Philippine dishes,Longganisa,Sausage,"A pork sausage similar to a chorizo. It has its own regional variants such as Longganisang Ilocano and Longganisang Lucban of the Ilocos Province and of the City of Lucban, Quezon, respectively, that is made with much garlic, and Sweet Chorizo of Cebu which is similar to sausages but with a sweeter flavor."
Philippine dishes,Tinapa / Tuyo,,Fish preserved through the process of smoking (tinapa) or drying (tuyo).
Philippine dishes,Tocino,,"A cured meat product native to the Philippines. It is usually made out of pork although beef is also used and is cured using sugar which gives it its ""ham-like"" glaze."
fermented foods,Atchara,Fermented foods,A pickle made from grated unripe papaya that is popular in the Philippines. It is often served as a side dish for fried or grilled foods such as pork barbecue.
fermented foods,Burong mangga,Fermented foods,"Made by mixing sugar, salt, and water to mangoes that have previously been salted."
Philippine dishes,Ensaladang talong,Salad,"A salad with boiled/grilled eggplant as the primary ingredient. It can be served as is, in a pickling solution of vinegar and garlic or with tomatoes, onions and bagoong alamang."
Philippine dishes,Binalot,,"Literally ""wrapped"". Food wrapped in banana leaves. Usually a meal consisting of a smoked or fried viand and rice sometimes accompanied by a salted egg, tomatoes, or atchara."
Philippine dishes,Chicharon,Snack,"Primarily refers to fried pork rinds. It is also made from chicken, mutton, beef, fish and fish skin and innards."
Philippine dishes,Fishballs,,A common street food most often made from the meat of cuttlefish or pollock and served with a sweet and spicy sauce or with a thick dark brown sweet and sour sauce.
Philippine dishes,Isaw,,A street food made from barbecued pig or chicken intestines. Another variant is deep-fried breaded chicken intestine.
Philippine dishes,Patupat (or Pusô),,"A type of rice cake from South East Asia made from rice that has been wrapped in a woven palm leaf pouch or banana leaves, then boiled."
Philippine dishes,Pinikpikan,,"A chicken dish wherein the chicken is beaten to death, dressed and roasted whole on a spit. Pinikpik means ""beaten (with a hard object)"", which is done to infuse the chicken meat with blood."
Philippine dishes,Siomai,,"Ground pork, beef, and shrimp, among others, combined with extenders like green peas, carrots and the like which is then wrapped in wonton wrappers."
rice dishes,Siopao,Rice dishes,Steamed meat dumpling made with rice flour
Philippine dishes,Tokneneng and Kwek kwek,,A tempura-like Filipino street food of duck or quail eggs covered in an orange-dyed batter and then deep-fried. Tokneneng uses duck eggs while the smaller kwek kwek use quail eggs.
Philippine dishes,Tokwa at baboy,,"A bean curd (tokwa is Filipino for tofu, from Lan-nang) and pork dish. Usually serving as an appetizer or for pulutan. Also served with Lugaw. It is a type of kinilaw."
Philippine dishes,Araro,Cookies,"Cookies made of flour, egg, sugar and salt"
Philippine dishes,Binaki (Pintos),Tamales,Steamed corn sweet tamales
fried dough foods,Binangkal,Fried dough foods,Deep-fried flour balls covered with sesame seeds
twice-baked foods,Biskotso,Twice-baked foods,"Baked bread topped with butter and sugar, or garlic, in some cases. The etymology of the word itself is related to the English biscuit and Italian biscotti, in that it is derived from the Latin phrase word bis coctus, which means ""twice baked""."
Philippine dishes,Buko Roll,Bread,Baked bread filled with coconut and condensed milk
Philippine dishes,Buchi,Fried dough,"A local version of the Chinese sesame seed balls (jin deui). Variants can range from almost exactly the same as the Chinese version, to versions which do not use sesame seeds and are filled with local fillings like ube or bukayo. Also spelled butsi."
Philippine dishes,Crema de fruta,Cake,"A layered dessert made with sponge cake, custard, gelatin, and fresh or preserved fruits"
Philippine dishes,Empanada,Pastry,"A baked or fried stuffed bread or pastry. They usually contain ground beef, pork or chicken, potatoes, chopped onions, and raisins."
Philippine dishes,Ensaymada,Pastry,"A pastry or a brioche made with butter (instead of lard) and topped with grated cheese (usually queso de bola, the local name for aged Edam) and sugar."
Philippine dishes,Mango float,Cake,"An icebox cake variant of crema de fruta made with graham crackers, whipped cream, and fresh mangoes"
Philippine dishes,Pan de coco,Bread,A rich sweet bread with a sweet coconut filling.
Philippine dishes,Pandesal,Bread,
Philippine dishes,Pastel de Camiguín,,
Spanish dishes,Polvorón,bread,"a type of Andalusian shortbread of Levantine origin that is made of flour, sugar, pig fat, almonds and cinnamon."
Philippine dishes,Roscas,Pastry cookies,"A pastry cookie made from lard, anise, flour, sugar, salt, butter, yeast, seasonings, and egg yolks, as well as tuba as its liqueur component."
Philippine dishes,Rosquillos,Cookies,"Filipino cookies made from flour, eggs, shortening, sugar, and baking powder. Its name comes from the Spanish word rosca (ringlet).[1][2] Not to be confused with Spanish rosquillos or roscos which are more akin to small doughnuts."
fried dough foods,Shakoy,Fried dough foods,Twisted doughnut from the Philippines made with regular flour or rice flour
Philippine dishes,Otap,Pastry,"Variant spelling: otap. Oval-shaped puff pastry usually made with flour, shortening, coconut, and sugar."
Philippine dishes,Apas,,Oblong-shaped biscuits that are topped with sugar.
street foods,Banana cue,Street foods,Deep-fried bananas coated in caramelized brown sugar; after cooking they are served on skewers[15][16]
Philippine dishes,Barquillos,,"A flat, sweet flour-based pastry rolled into a hollow tube. Sometimes eaten with sorbetes or western ice cream."
Philippine dishes,Barquiron,,Barquillos filled with polvoron.
Philippine dishes,Baye baye,,A sticky dessert made from newly harvested rice.
Philippine dishes,Belekoy,,"A sweet pastry made from flour, sugar, sesame seeds, and vanilla."
Indonesian dishes,Bibingka,Cake,"A type of cake made with rice flour, sugar, clarified butter, and coconut milk. Usually served during Christmas."
dishes made using coconut milk,Binignit,Dishes that use coconut milk,"Dessert soup made from sweetened coconut milk, glutinous rice, fruits, and various root crops"
rice dishes,Biko,Rice dishes,A sweet dish made of sticky rice cooked in coconut milk and sugar and topped with thick caramelized coconut syrup and latik
Philippine dishes,Bukayo,,"A sweet popular with children, it is made by simmering strips of young, gelatinous coconut (buko) in water and then mixing these with sugar."
Philippine dishes,Buko pie,,"A traditional pastry, young coconut filled pie."
Philippine dishes,Camote cue,,Deep fried kamote with caramelised brown sugar.
fried dough foods,Cascaron,Fried dough foods,A variant of buñuelo from the Philippines made with ground glutinous rice and coconut milk. Usually eaten on skewers.
Philippine dishes,Coconut jam,,"A food spread, a custard jam in the general sense, consumed mainly in Southeast Asia and made from a base of coconut and sugar."
Philippine dishes,Leche flan,,"A rich custard made of egg yolks with a layer of soft caramel on top (as opposed to crème brûlée, which has a hard caramel top). Sometimes sliced and added to other desserts such as halo-halo."
snack foods by country,Dodol,,"Rice flour-based small glutinous sweets, sweetened with coconut sugar, moulded and coloured. Often add fruit scent and taste such as durian."
dishes made using coconut milk,Espasol,Dishes that use coconut milk,"A cylinder-shaped Filipino rice cake prepared with rice flour, cooked in coconut milk and sweetened coconut strips, and then dusted with toasted rice flour."
street foods,Ginanggang,Street foods,"Pieces of saba banana on a stick, brushed with margarine, sprinkled with sugar, and grilled over charcoal[130][131]"
street foods,Halo-halo,Street foods,"A cold dessert that is a mixture of shaved ice, evaporated milk, and various other ingredients—for example, caramelized plantains, jackfruit, tapioca, sugar palm fruit, coconut, sweet potato, boiled kidney beans, and flan[146]"
Philippine dishes,Hopia,,A popular bean filled pastry originally introduced by Fujianese immigrants in urban centres of the Philippines.
dishes made using coconut milk,Kalamay,Dishes that use coconut milk,"A sticky sweet delicacy made of coconut milk, brown sugar, and ground glutinous rice"
Philippine dishes,Kutsinta,,"Rice cake with jelly-like consistency made from rice flour, brown sugar, lye and food coloring, usually topped with freshly grated mature coconut"
Philippine dishes,Latik,,"Latík in the northern Philippines refers to coconut milk curds used as toppings. In the Visayan regions, it refers to a thick, sweet syrup made from coconut milk and sugar."
Philippine dishes,Maíz con hielo,,"Similar to halo-halo, but instead made with corn kernels and sometimes with corn flakes as topping."
dishes made using coconut milk,Maja blanca,Dishes that use coconut milk,"Coconut–based blancmange, often with sweet maize kernels."
street foods,Maruya,Street foods,"Saba bananas cut into thin slices, coated with batter, deep-fried, and then sprinkled with sugar[195]"
Philippine dishes,Morón,"dessert, snack","Like most suman, the morón is made from glutinous rice, but is smoothened and then either striped or divided into two flavor parts, one part being flavored with chocolate from the local cacao and the other part with coconut milk"
fermented foods,Nata de coco,Fermented foods,A jelly-like dessert made from fermented coconut water
Philippine dishes,Palitaw,,"They are made from malagkít (sticky rice) washed, soaked, and then ground. Scoops of the batter are dropped into boiling water where they float to the surface as flat discs which are then dipped in grated coconut and presented with a separate dip of sugar and toasted sesame seeds."
Philippine dishes,Piaya,Snack,"A flat pastry filled with a jam made of muscovado sugar and sometimes sprinkled with sesame seeds, grilled on a pan. Different flavours include ube (purple yam), mango and chocolate."
